Nome ente;Funding Request Name;Oggetto;Data ultima assegnazione;L'asseverazione è bloccata?;Ultimo esito asseverazione tecnica;Stato progetto
Comune di Villa Minozzo;CND_120COM0422X_022614;Controlli conformità tecnica - 1.2 - Abilitazione al Cloud - Comuni - Aprile 2022;29/05/2025 16:09;Sì;Parziale;AVVIATO
Comune di Ville di Fiemme;CND_120COM0722X_040493;Controlli conformità tecnica - 1.2 - Abilitazione al Cloud - Comuni - Luglio 2022;28/03/2025 10:17;;Parziale;IN VERIFICA
Comune di Ville di Fiemme;CND_120COM0722X_040493;Controlli conformità tecnica - 1.2 - Abilitazione al Cloud - Comuni - Luglio 2022;25/06/2025 16:09;;Parziale;IN VERIFICA
ISTITUTO COMPRENSIVO - IC SAN VITO AL TAGLIAMENTO;CND_120SCU1222X_076453;Controlli conformità tecnica - 1.2 - Abilitazione al Cloud - Scuole - Dicembre 2022;27/06/2025 11:02;Sì;Parziale;IN VERIFICA
ISTITUTO COMPRENSIVO - IC SAN VITO AL TAGLIAMENTO;CND_120SCU1222X_076453;Controlli conformità tecnica - 1.2 - Abilitazione al Cloud - Scuole - Dicembre 2022;23/06/2025 18:04;Sì;Parziale;IN VERIFICA
ISTITUTO COMPRENSIVO - IC SAN VITO AL TAGLIAMENTO;CND_120SCU1222X_076453;Controlli conformità tecnica - 1.2 - Abilitazione al Cloud - Scuole - Dicembre 2022;26/03/2025 10:10;Sì;Parziale;IN VERIFICA
Istituto Comprensivo di Carmignano Fontaniva;CND_120SCU0622X_057963;Controlli conformità tecnica - 1.2 - Abilitazione al Cloud - Scuole - Giugno 2022;30/06/2025 12:21;;Parziale;IN VERIFICA
Istituto Comprensivo di Carmignano Fontaniva;CND_120SCU0622X_057963;Controlli conformità tecnica - 1.2 - Abilitazione al Cloud - Scuole - Giugno 2022;11/10/2023 13:26;;Parziale;IN VERIFICA
ISTITUTO COMPRENSIVO - IC BOLZANO VICENTINO'G.ZANELLA';CND_120SCU0622X_037214;Controlli conformità tecnica - 1.2 - Abilitazione al Cloud - Scuole - Giugno 2022;04/03/2025 10:33;No;Parziale;AVVIATO
ISTITUTO COMPRENSIVO - I.C. 'MATTEO MARIA BOIARDO';CND_120SCU1023X_095816;Controlli conformità tecnica - 1.2 - Abilitazione al Cloud - Scuole - ottobre 2023;24/06/2025 10:12;Sì;Parziale;IN VERIFICA
ISTITUTO COMPRENSIVO - IST. COMPRENSIVO TRAVERSETOLO;CND_120SCU1023X_092751;Controlli conformità tecnica - 1.2 - Abilitazione al Cloud - Scuole - ottobre 2023;19/03/2025 15:39;No;Parziale;IN VERIFICA
ISTITUTO COMPRENSIVO - I.C. 'MATTEO MARIA BOIARDO';CND_120SCU1023X_095816;Controlli conformità tecnica - 1.2 - Abilitazione al Cloud - Scuole - ottobre 2023;24/02/2025 10:15;Sì;Parziale;IN VERIFICA
ISTITUTO COMPRENSIVO - IST. COMPRENSIVO TRAVERSETOLO;CND_120SCU1023X_092751;Controlli conformità tecnica - 1.2 - Abilitazione al Cloud - Scuole - ottobre 2023;06/05/2025 13:37;No;Parziale;IN VERIFICA
Comune di Imola;CND_141COM0922X_048268;Controlli conformità tecnica - 1.4.1 - Esperienza del Cittadino - Comuni - Settembre 2022;04/06/2025 10:04;;Parziale;IN VERIFICA
Comune di Imola;CND_141COM0922X_048268;Controlli conformità tecnica - 1.4.1 - Esperienza del Cittadino - Comuni - Settembre 2022;25/02/2025 15:11;;Parziale;IN VERIFICA
